dataset,training_ratio,model,training_time,predict_time,error,model_size
cancer,0.29470517025518106,SVM,0.0011002000001099077,0.0001249999995707185,0.10185185185185186,60.0
cancer,0.29470517025518106,AdaBoost,0.15956290000031004,0.012333900000157882,0.06481481481481477,1468.0
cancer,0.29470517025518106,kNN,0.000346200000421959,0.005685399999492802,0.11111111111111116,0
cancer,0.29470517025518106,Logistic Regression,0.0069771999997101375,0.00013320000016392441,0.06481481481481477,0
cancer,0.29470517025518106,Neural Network,0.19716849999986152,0.00038219999987632036,0.10185185185185186,75266.0
cancer,0.3088843596477481,QDA,0.0008182999999917229,0.00019769999926211312,0.04629629629629628,1860.0
cancer,0.3088843596477481,LDA,0.0013359999993554084,0.00013040000067121582,0.05555555555555558,960.0
cancer,0.3088843596477481,Decicision Tree,0.0014623999995819759,0.00014480000027106144,0.05555555555555558,26.0
cancer,0.3088843596477481,Random Forrest,0.10047800000029383,0.004306999999243999,0.04629629629629628,2860.0
cancer,0.3088843596477481,SVM,0.0011071999997511739,0.00012680000054388074,0.05555555555555558,60.0
cancer,0.3088843596477481,AdaBoost,0.16729949999989913,0.01169339999978547,0.04629629629629628,1500.0
cancer,0.3088843596477481,kNN,0.00042610000036802376,0.005681599999661557,0.04629629629629628,0
cancer,0.3088843596477481,Logistic Regression,0.007590199999867764,0.0001320000001214794,0.04629629629629628,0
cancer,0.3088843596477481,Neural Network,0.20838869999988674,0.00035029999980906723,0.03703703703703709,75266.0
cancer,0.3237457542817644,QDA,0.000824099999590544,0.00019960000008723,0.07407407407407407,1860.0
cancer,0.3237457542817644,LDA,0.001400899999680405,0.00012930000048072543,0.06481481481481477,960.0
cancer,0.3237457542817644,Decicision Tree,0.001188900000670401,0.0001419000000169035,0.12037037037037035,30.0
cancer,0.3237457542817644,Random Forrest,0.10395310000058089,0.004146199999922828,0.06481481481481477,2352.0
cancer,0.3237457542817644,SVM,0.0008756999995966908,0.00012969999988854397,0.11111111111111116,60.0
cancer,0.3237457542817644,AdaBoost,0.16396650000024238,0.011695899999722315,0.05555555555555558,1480.0
cancer,0.3237457542817644,kNN,0.0004394999996293336,0.006362000000081025,0.11111111111111116,0
cancer,0.3237457542817644,Logistic Regression,0.006969600000047649,0.0001260999997612089,0.11111111111111116,0
cancer,0.3237457542817644,Neural Network,0.2460707000000184,0.0003735999998752959,0.10185185185185186,75266.0
cancer,0.3393221771895328,QDA,0.000847799999974086,0.0001944999994520913,0.00917431192660545,1860.0
cancer,0.3393221771895328,LDA,0.001307999999880849,0.00012990000050194794,0.07339449541284404,960.0
cancer,0.3393221771895328,Decicision Tree,0.0014153000001897453,0.00023640000017621787,0.05504587155963303,22.0
cancer,0.3393221771895328,Random Forrest,0.08466279999993276,0.004241099999489961,0.04587155963302747,2872.0
cancer,0.3393221771895328,SVM,0.0018614999999044812,0.00015499999972234946,0.03669724770642202,60.0
